Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Australia,18.639563616019394,20.04076676207824,20.029329096908224,24.09625356021325,22.480773023072373,24.78407698514689,19.635312430509227,19.582252138838218,18.21512379675303,18.356831188194793,17.998825459184705,21.832406447356018,20.821114369501466,17.71591808852525,18.964699797422526,19.956781146794604,19.72065137710755,15.938269060579243,16.180618691283772,16.95552883289388,13.589684356427325,13.771916092673763,13.021367071150145,11.497673360690694,10.839073037738556,11.417349155941835,11.566991561248743,10.338115766824053,10.338843333767192,9.827851130661807,9.169923583970133,10.106940256554402,9.645815265889922,10.131956186135412,9.783512493345057,9.19244234831168,8.69158087716824,9.04276584209114,7.887949379291248,7.957196246077386,7.795524720771548,7.385459166610929,6.9826456385402285,7.333768955183524,7.017681420786451,6.704270255356978,6.84321114438806,5.901333037011429,4.899351223706459,4.745724545311979,5.344130836608603,6.59926666062771,5.585644423913216,7.2794356244066005,7.405826056133794
Austria,73.55912446574277,69.2935791166646,67.09916589434661,63.671502997030984,63.89223964616003,71.81951308804686,72.43167424661027,72.065649867374,70.31736644983243,62.87355878610265,70.21939328277357,57.50301397064038,57.99481417458946,60.64820804761288,66.41820086813351,67.19434345747574,57.46971349830625,65.67456065152165,65.02640868434322,68.65935268801154,69.05048076923077,73.01756379302182,73.15259855570024,72.92004193271706,69.2916976693949,70.73064788989987,70.7574413898174,72.51449042022219,74.36499200398762,71.7872037432611,63.91796494644596,62.65917379087702,69.78113298223832,71.45276517879738,68.5229606033275,67.17713581499873,63.86680106021577,64.83792762862531,66.46932570202111,67.9267641364577,69.87340080836422,66.24690913259207,66.26527855566171,57.171626762139184,59.34332020404211,57.2496683056271,57.711074252403414,59.2586085734364,59.425162689804765,61.66930558697127,56.471817820499616,54.98763528920577,63.75170968774554,65.12438967681935,66.56709148469844
Belgium,1.1351636747624076,1.1791128579449746,0.9290396124251924,0.7654688496704232,0.5595834752566785,1.2690710586478795,1.320204874602614,1.0046009032966106,0.9221466364323506,0.7886164923709925,0.8059496117681747,0.4031651472756265,0.48569886670264434,0.4210267142681275,0.5671881646736304,0.4483316184036455,0.23130955159900687,0.47792784143036976,0.4410688502541585,0.45082362007513727,0.5236292403608898,0.7612235519769835,0.6662931689943575,0.6477857679924425,0.6537530266343826,0.510140599726266,0.5952690859235348,0.688305228873522,0.5562355711873074,0.4560611271438611,0.3784214419848631,0.32169246762003767,0.477524156280633,0.36250499514757095,0.4849946033837485,0.4597638609282333,0.3180813968963773,0.391723712770193,0.4739567468778556,0.40903965645466983,0.5557367740688389,0.5609402426925132,0.4447794017717046,0.2955924414499587,0.3758016905148602,0.33602072127781213,0.4256176791388059,0.44442921122383694,0.49053037100845864,0.36523172171124424,0.33250562168959746,0.22019008245893903,0.43738743705663985,0.4623827312217855,0.3834581204954167
Canada,92.08906058672369,90.91027364586496,87.96845669080182,84.17860327610724,83.15781818181817,80.22119114420222,81.22419116826428,79.19670260137312,75.45580959873243,77.08265105616505,75.47873152850434,73.23572236772708,73.79889244170693,72.07245233837256,74.30541593919193,73.07275877003032,71.31949567433439,68.36311353741623,68.60577357709234,67.97944919384032,67.28175783196438,68.12861752804385,66.55367640035213,65.21148517764756,65.47287247431409,66.16685697351103,66.30727590196338,63.71935000241814,60.77736350373044,58.33183174164615,61.558456645803986,60.626872070817626,60.809296550504634,60.805424370956004,59.35757180931951,59.98571441326417,62.07523096230074,61.139818688981876,59.092066397340695,59.72294432113586,59.19936723492229,56.515819458103024,58.313122340549405,57.23850039522206,56.81861752227585,58.22450023648877,58.09611778206958,58.68105553870468,59.97343341352036,60.80991694639868,58.967172395273906,59.652582606900715,60.085807746400974,59.29460982860187,58.2921565459661
Switzerland,99.1304347826087,99.14639743001376,98.8466567052671,98.80675586751481,98.54748603351955,97.91897891231964,97.53887380557809,96.87825182101977,95.47540770157221,92.42347025447627,88.88313779618127,86.19030820050672,76.75585808839675,75.78835863867235,74.84771710419923,77.88687498545801,71.89924628685435,77.92329483547614,75.4603550295858,69.41383481799186,68.09548521017125,68.4512096307443,69.19517025976994,67.8609062170706,60.87983049137322,57.70747429641501,58.191400930298364,58.96930011055361,59.97352458192299,55.39079796833429,54.18060808844923,56.39019759510583,56.077651255316226,58.780808412750574,59.720269030877404,56.498200745405484,51.10131375442214,54.91515034197961,53.72207241910631,58.2528795887758,55.70443409352126,58.13279292971938,53.79057511647445,53.24006116207951,52.84271510216863,54.03450483656059,49.82457834427707,53.05618687818902,53.7561907035026,53.57940995605418,54.59486465209229,51.504261544332785,56.64807748752568,55.967694994179276,54.25808108185216
Germany,10.192345154104803,9.436814817746468,8.309111174246564,7.4999665000602995,6.771992467411773,8.319286068418444,8.945965373012683,8.346234355239632,7.727279473238976,5.8395265681983135,5.676375048174861,4.111548087236325,3.816052341701336,4.069164850194469,4.516556867906074,4.443546916121635,3.286009543854987,4.124604215907411,4.098005687830097,3.9302953763369572,4.089076639361839,4.2555966280195925,4.216325684829815,3.9225267926427723,3.6710629072417746,3.3369832488089752,3.557979582724079,3.8336032213125417,3.6674593179786843,3.268585945026615,3.1819592805624026,2.7790738038094456,3.2598674841475663,3.421711927760882,3.7947087327805336,4.087730427503781,3.987172479666455,3.167272189791811,3.116723240552161,3.555728492701952,3.7972228483364874,3.9067789910738533,3.9735099337748347,2.9358701000492045,3.2884692483288473,3.1890224098733357,3.1621602827105315,3.340734743862274,3.2225164727765696,3.2257791126946302,3.3440102907356244,2.910109546990587,3.487954492254512,3.6334910616246274,3.1493492920516197
Denmark,0.45126353790613716,0.4890895410082769,0.4209163024121742,0.33444816053511706,0.3192032686414709,0.31669622498099825,0.2610703885932322,0.24649970420035494,0.16226240148354196,0.12505684402000908,0.11985617259288853,0.12886597938144329,0.11665208515602217,0.12552301255230125,0.13112604491067037,0.1314060446780552,0.11702179530937637,0.09970993473531545,0.11264570477030071,0.11306589480349148,0.11208668036614981,0.166978697566159,0.13065834949001096,0.15329816493079038,0.13232180663373325,0.10293713972001099,0.09420784199070915,0.09834175455254503,0.11756323477021731,0.1002921554092356,0.10776691555692403,0.06840881105486386,0.0910924588457284,0.08241596514982046,0.08132485583321011,0.08161488655530769,0.03545966929192639,0.042874873067809995,0.06567265828326806,0.07965056526207606,0.08321082850248245,0.07421346974475868,0.08145187975666252,0.04546832373446499,0.06677218320308637,0.06345527782375987,0.05042643222029773,0.07121782480415098,0.07100720996285777,0.05222219168292884,0.05403736297668674,0.04825569843027051,0.05537278915996222,0.037399309551208286,0.04660845788149023
Spain,83.9368217470721,76.53989845770668,70.17245142981882,81.62721550758775,69.92481203007519,62.05711763964191,72.3426842538284,55.78618210469296,53.23612232869834,58.81120762549005,49.32596842086567,51.661930664934644,52.22557608775675,38.213058419243985,38.173734951795794,31.74864186703696,23.454535268082246,42.75372482171563,40.95209995116393,44.31296142421898,27.053998132312817,19.947998109022148,23.197892622416436,23.442077345767824,26.657409445752123,24.906660722672886,20.661633964500734,20.649895178197063,25.43295041274606,13.144701086956523,16.84456965993413,17.605929602129898,12.071474154435228,15.710342964120974,17.548569936980275,13.937534723060944,22.94926888356935,18.373540156597777,17.575184082071647,11.087899648751197,12.790092385966023,17.543453170118465,8.84639271081249,15.732978901182607,11.235776354409149,6.354575135172485,8.782334512927038,9.047538588452785,7.5130716642334825,9.048922633099096,14.180745508179138,10.494866790380506,6.989474113940846,13.098473946952335,14.245914696907427
Finland,61.231841952353285,76.62846227316142,84.10812672176309,70.8076109936575,65.35476283810272,67.19827586206897,65.38800705467372,69.3854415274463,58.814623752383085,43.77095950748286,42.099040516574966,49.015266823486,44.29521561896589,40.284269404643325,45.713148275487676,46.43307477742539,32.25089728251581,36.618526799202364,27.26407701779917,27.699207501974875,25.071784425847305,33.374074164609254,31.78627808136005,32.18001279711828,29.249011857707508,24.80690321023413,25.147160313400725,25.83236582899517,24.798619102416573,24.209822175149117,19.969840189786122,22.7589418135412,26.170636639237767,22.063229587910737,17.95950084563697,20.184274225033185,17.09598835281738,17.696889094483637,21.45025439309077,18.399873302906837,20.95004001371899,17.7281636817657,14.37662597558535,11.373716291535233,17.554895451103732,19.52905840015868,13.963942074059677,17.449689211643793,22.09939043289596,17.60257530977258,16.017552123360687,16.931742425273125,23.94370197838406,18.01647557432954,19.674562730383446
France,54.47314779040489,48.46777827850383,41.60566353810496,47.70214610882289,35.64881862650773,44.172524925083394,47.10367917121637,38.81474256968328,40.896038158278984,38.50232761128892,38.60048221656155,31.342517436749674,28.517356791140237,26.129265566440925,30.089859617762126,32.43602059429879,23.58433281355504,36.26134473746733,30.22308695748303,27.61395439744832,27.016649307444773,26.189456880600805,25.33756122786101,23.508679268280297,20.356544027174706,18.07481448180433,17.328807204089046,18.72745336598998,19.609360585497857,11.557142644733776,12.911344466309844,12.754754080936733,14.99007632426181,13.817618927976765,16.602436192695635,14.885759597394957,12.971168198601617,12.727980438145616,12.240717887656574,13.911905716593411,12.400034380698974,13.619825192651197,10.909271535140798,10.497520943751068,10.471945279668022,9.012447261077362,9.887747790780988,10.217964318276152,11.190888920925032,10.740714917000055,11.113710270519329,8.05051997397434,10.469557402830825,12.468505193447317,11.280317570321323
