Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Belgium,33.808764940239044,34.63444318873338,33.50819068654519,32.27227227227227,30.77376276512176,26.79544328875681,25.138285262742006,26.29812438302073,27.614331488494038,28.407130534790102,29.797647058823536,28.993869455463393,28.724573941726224,29.151498179781576,29.88834301027244,29.714234524769328,28.310932283194933,27.647783251231523,28.443603200550633,26.51030561478323,27.38043001316367,25.536368393511253,27.4046511627907,27.19665271966527,26.949396722492345,27.992170022371365,28.32036876980697,29.38640465209545,26.715497301464918,26.15767119030353,27.50830564784053,27.857295449690234,27.65818656229615,25.406852248394003,25.8470695970696
Benin,5.128205128205128,3.3333333333333335,5.555555555555556,16.666666666666664,10.526315789473683,6.382978723404255,7.317073170731707,8.333333333333332,5.555555555555556,7.142857142857142,11.538461538461538,15.0,14.285714285714285,14.285714285714285,13.636363636363635,13.636363636363635,3.296703296703297,4.310344827586207,4.132231404958678,3.731343283582089,4.225352112676056,3.4682080924855496,3.4653465346534658,2.6315789473684217,2.4691358024691357,2.9850746268656714,3.3950617283950617,3.9577836411609493,4.177545691906006,2.1479713603818613,2.417582417582418,2.350427350427351,2.4489795918367347,2.294455066921606,2.264808362369338
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,26.595744680851062,26.21664050235479,28.924418604651166,30.48211508553655,33.17683881064163,39.090909090909086,40.610328638497656,39.361702127659576,43.23770491803279,40.038131553860815,38.96672504378283,42.7906976744186,44.29301533219761,46.27702161729383,45.28582034149962,40.77669902912621,40.3119376124775,38.26040554962647,41.1702688455456,44.73817996949669,43.0276981852913,43.15619967793881,43.40617935192162,41.705649514213746,45.879582912882604,46.22848200312989,48.33759590792839,48.47184986595175,48.37288965011011,48.60322507381331,48.64593781344032,47.44744744744745,49.26701570680629,52.11409395973155,52.80231251003694
Bulgaria,45.67901234567901,46.16997656346366,47.20744680851063,46.32226322263223,46.10831234256926,47.74413231180834,50.931602356052416,51.60830860534125,51.755229622505404,51.622668927101,64.74453533592597,67.90319731496201,69.41415634817963,69.71197945331133,66.98022653100402,67.21653394008344,67.22452049642723,58.2066276803119,59.22072623419011,62.337360594795534,62.88219957335862,65.46746613368866,62.88538479642269,63.38540552107853,62.94759825327512,62.12903225806452,61.238195173137456,63.79682290645224,66.41252833298991,69.05660377358491,70.04504504504504,72.42430400325136,69.74128233970754,68.91204880528723,69.04818419178731
Bahrain,62.01657458563537,60.05154639175259,57.125307125307124,58.51063829787233,89.14549653579678,89.34065934065933,90.37871033776868,89.91683991683993,89.9209486166008,89.5711500974659,89.04494382022472,88.52140077821012,89.32676518883417,89.66846569005395,89.60843373493977,89.29368029739777,89.3541518807665,88.56345885634587,88.32684824902725,88.9538661468486,88.69949494949495,88.31804281345566,87.6672484002327,87.31843575418996,85.99550056242968,85.89494163424125,86.57718120805367,85.7830271216098,85.53433563592037,85.36984062116878,84.02505873140173,84.47399296050058,85.28171713300115,81.22347949080621,80.46480296396092
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,23.51543942992874,27.1523178807947,28.131416837782343,21.255060728744937,25.054466230936818,24.825986078886313,27.951807228915666,29.195402298850574,26.995305164319248,27.966101694915256,29.32038834951456,27.852998065764023,30.683918669131238,27.88632326820604,29.50819672131148,31.05950653120465,26.89335394126739,26.964560862865948,28.818443804034583,24.00611620795107,26.05633802816902,24.082232011747433,24.895104895104893,27.10997442455243,24.765258215962447,27.012127894156563,25.734549138804457,26.135310472659874,25.63884156729131,26.61290322580645,27.226277372262775,26.89979825151311,25.224148236700533,24.600827912477826,24.644808743169396
Brazil,12.080376840975491,13.44,13.059343191857115,13.752866585727777,15.492957746478876,15.206812652068125,17.936244491501174,16.950097574574855,16.278432447245823,15.261675154404594,15.19674355495251,14.651880525187009,15.211281998875887,14.829965500246425,14.187262357414449,13.788863516599331,13.734498881886564,14.469331102407116,14.343262621036294,16.217279359176086,17.115391194280043,18.292234081707768,16.742688489401665,17.14090287277702,17.9746263356684,18.624798711755233,18.501417062064135,17.42506977308579,19.672885107361523,17.686047228559097,18.654359970852568,16.1631458713006,19.36339522546419,23.48170961380808,26.30981891517163
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,81.43939393939394,83.39768339768341,81.1808118081181,80.06872852233677,81.56996587030714,79.66101694915253,79.93197278911563,79.59866220735785,78.59424920127796,77.491961414791,77.91411042944786,77.2189349112426,75.69832402234637,76.42487046632125,76.32850241545894,77.11111111111111,76.00849256900213,76.03143418467585,75.1740139211137,75.17899761336515,77.14932126696831,76.33410672853829,75.45871559633028,78.66666666666666,76.82926829268293,76.97095435684646,58.391123439667126,54.97076023391813,54.43213296398892,68.90982503364737,75.21865889212827,73.60912981455064,71.44906743185079,72.4087591240876,72.08955223880596
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,,45.652173913043484,47.91666666666667,45.39007092198582,40.0,40.666666666666664,43.93063583815029,43.575418994413404,49.76744186046512,49.36708860759494,54.092526690391466,51.64835164835166,50.0,50.46153846153847,53.57142857142857,54.858934169278996,45.205479452054796,45.60260586319219,35.869565217391305,43.00518134715026,41.19106699751861,32.041343669250644,32.50620347394541,35.29411764705882,40.554156171284625,39.25233644859813,31.295843520782395,25.0,23.917995444191348,33.12101910828026,17.431192660550458,27.864583333333336,42.126789366053174,44.27480916030534,54.50581395348837
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
