Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Belize,190.684,183.35,172.349,172.349,172.349,190.684,205.352,227.354,249.356,300.694,311.695,359.366,355.699,377.701,374.034,377.701,308.028,388.702,370.367,348.365,396.036,447.374,432.706,432.706,392.369,421.705,443.707,476.71,436.373,586.72,539.049,601.388,476.71,513.38,495.045
Bermuda,436.373,388.702,396.036,451.041,443.707,451.041,421.705,572.052,645.392,781.071,502.379,539.049,462.042,539.049,531.715,531.715,528.048,524.381,520.714,513.38,517.047,528.048,557.384,561.051,583.053,583.053,652.726,729.733,649.059,476.71,608.722,443.707,476.71,458.375,575.719
Bolivia,4668.091,4792.769,4349.062,4290.39,4041.034,4125.375,3777.01,4030.033,4308.725,4994.454,5757.19,6006.546,6655.605,7829.045,8635.785,9849.562,9827.56,10942.328,10989.999,10443.616,11067.006,8621.117,10395.945,11092.675,11114.677,12185.441,15056.702,12332.121,13237.87,13989.605,15203.382,16145.801,18793.375,18918.053,20410.522
Brazil,187090.34,171806.284,172176.651,166632.147,168806.678,181248.809,198883.412,207530.198,209363.698,214024.455,208886.988,219330.604,220705.729,230738.641,242154.012,258347.484,284782.887,300547.32,312289.054,320173.104,327983.814,337433.673,332266.87,321621.569,337826.042,347308.904,347668.27,363212.683,387631.236,367147.374,419754.156,439412.943,470028.726,503677.118,529808.16
Barbados,674.728,685.729,645.392,685.729,748.068,847.077,916.75,942.419,946.086,990.09,1074.431,1206.443,979.089,1114.768,748.068,828.742,850.744,902.082,1140.437,1210.11,1188.108,1221.111,1228.445,1268.782,1294.451,1353.123,1371.458,1364.124,1620.814,1617.147,1477.801,1529.139,1470.467,1448.465,1272.449
Brunei Darussalam,6882.959,1470.467,2093.857,2706.246,1917.841,2596.236,2299.209,3318.635,5716.853,6347.577,6193.563,5309.816,5214.474,4968.785,4693.76,4789.102,4869.776,5060.46,5269.479,3909.022,4712.095,4506.743,4378.398,4591.084,4998.121,5005.455,4862.442,8415.765,9119.829,7862.048,8203.079,9695.548,9666.212,7803.376,9108.828
Bhutan,22.002,25.669,33.003,29.336,51.338,62.339,55.005,102.676,110.01,62.339,128.345,187.017,216.353,183.35,212.686,249.356,300.694,392.369,381.368,385.035,396.036,385.035,418.038,377.701,308.028,396.036,392.369,392.369,421.705,388.702,487.711,733.4,817.741,920.417,1001.091
Botswana,986.423,1008.425,1100.1,1030.427,1045.095,1158.772,1067.097,1239.446,1301.785,1430.13,2702.579,2636.573,2779.586,3197.624,3032.609,3047.277,2757.584,2801.588,3344.304,3160.954,3780.677,3850.35,3978.695,3828.348,3898.021,4096.039,4136.376,4231.718,4506.743,3762.342,4686.426,4176.713,4231.718,5229.142,7033.306
Central African Republic,106.343,135.679,143.013,146.68,150.347,161.348,161.348,260.357,231.021,249.356,198.018,205.352,216.353,223.687,234.688,234.688,234.688,245.689,249.356,264.024,267.691,245.689,245.689,234.688,234.688,234.688,249.356,253.023,253.023,253.023,264.024,278.692,293.36,297.027,300.694
Canada,443233.957,430003.421,414811.04,408687.15,425595.687,422079.034,405053.153,431349.21,456053.789,463274.112,435181.225,426780.128,440978.752,445580.837,456849.528,467637.842,479419.913,495294.356,506533.711,515389.516,534380.909,527926.989,519335.208,553100.944,552198.862,557417.003,543819.767,554355.058,561028.998,536764.459,534670.602,537112.824,517457.704,517160.677,537193.498
Switzerland,40538.685,38859.199,36629.663,40069.309,39174.561,39827.287,42295.178,40252.659,40711.034,39467.921,42610.54,42705.882,42793.89,40751.371,41323.423,39225.899,39885.959,41466.436,41704.791,40692.699,39049.883,42944.237,40696.366,40175.652,40366.336,41338.091,41851.471,37986.453,40403.006,41646.119,38994.878,36967.027,37773.767,40226.99,35305.876
Chile,25265.63,24554.232,20615.874,20839.561,22200.018,21503.288,22247.689,22673.061,26926.781,32386.944,33314.695,31323.514,32474.952,34627.481,38103.797,41745.128,48499.742,56394.793,57641.573,61502.924,58815.013,53340.182,55162.681,55602.721,59775.767,61818.286,64814.225,71638.512,71851.198,66805.406,72250.901,79243.87,80974.694,83226.232,82562.505
China,1467192.369,1451501.276,1580260.647,1667029.201,1814908.31,1966553.428,2068969.071,2209708.531,2369501.723,2408540.605,2442431.019,2565594.548,2690455.898,2878694.009,3058241.33,3320285.15,3463089.131,3469510.048,3324344.519,3318055.614,3405179.867,3487566.356,3850269.326,4540417.061,5233538.733,5896957.705,6529291.518,7030797.772,7553070.247,8001008.965,8776040.416,9733538.12,10028573.939,10258007.128,10291926.878
Cote d'Ivoire,6222.899,4466.406,6109.222,4840.44,5405.158,7326.666,5966.209,7682.365,9160.166,8522.108,5034.791,4561.748,4099.706,5346.486,4686.426,6618.935,7840.046,7568.688,6912.295,6266.903,6791.284,7726.369,7286.329,5460.163,7664.03,7825.378,6996.636,6776.616,6776.616,5658.181,6967.3,7249.659,9295.845,10685.638,11045.004
Cameroon,3905.355,5342.819,6343.91,6589.599,6057.884,6475.922,1994.848,1844.501,2200.2,7634.694,1734.491,1103.767,3788.011,3898.021,3817.347,4228.051,4462.739,3215.959,3208.625,3080.28,3432.312,3421.311,3417.644,3795.345,3956.693,3696.336,3861.351,5834.197,5544.504,6725.278,6780.283,5768.191,6127.557,6772.949,7003.97
"Congo, Dem. Rep.",3501.985,3777.01,3072.946,4026.366,3964.027,3641.331,3377.307,3854.017,4019.032,4393.066,4070.37,2962.936,2816.256,2592.569,1639.149,2123.193,2317.544,1899.506,1668.485,1382.459,814.074,836.076,927.751,986.423,1199.109,1499.803,1609.813,1756.493,1859.169,1749.159,2020.517,2493.56,2401.885,3589.993,4671.758
"Congo, Rep.",407.037,473.043,1345.789,1144.104,1140.437,1279.783,1067.097,1323.787,1499.803,1507.137,1188.108,1004.758,1279.783,1320.12,2148.862,1565.809,1716.156,2343.213,777.404,821.408,1048.762,766.403,575.719,916.75,949.753,982.756,1118.435,1213.777,1309.119,1745.492,1980.18,2258.872,2970.27,3087.614,3094.948
Colombia,44356.032,44458.708,45914.507,49449.495,48980.119,48378.731,49101.13,50487.256,52445.434,53233.839,57337.212,57120.859,62049.307,64022.153,67571.809,59614.419,60527.502,64909.567,65976.664,56512.137,57923.932,56273.782,55661.393,57421.553,55071.006,60945.54,62940.388,62430.675,68088.856,72661.605,76174.591,76530.29,79951.601,89625.147,84091.644
Comoros,47.671,47.671,47.671,47.671,47.671,47.671,44.004,47.671,51.338,51.338,62.339,66.006,66.006,69.673,69.673,73.34,77.007,80.674,88.008,91.675,102.676,102.676,102.676,132.012,143.013,139.346,161.348,102.676,106.343,132.012,161.348,135.679,143.013,176.016,154.014
Cabo Verde,121.011,33.003,36.67,36.67,84.341,84.341,58.672,80.674,73.34,80.674,95.342,99.009,106.343,110.01,113.677,121.011,143.013,146.68,157.681,183.35,216.353,234.688,275.025,308.028,330.03,440.04,473.043,506.046,469.376,524.381,557.384,616.056,506.046,498.712,491.378
Costa Rica,2464.224,2251.538,2086.523,2104.858,2002.182,2266.206,2607.237,2757.584,2940.934,2973.937,2955.602,3336.97,3791.678,3953.026,5269.479,4866.109,4748.765,4987.12,5317.15,5522.502,5474.831,5760.857,6325.575,6626.269,6930.63,6868.291,7099.312,8122.405,8129.739,7902.385,7568.688,7741.037,7766.706,7598.024,7759.372
Caribbean small states,38837.197,32566.627000000008,31620.541000000005,28639.27,28899.627000000008,31972.573,27894.869000000002,29240.658,27146.801,29904.385,31594.872000000007,32075.249000000007,33945.419,33153.347,32856.32,33692.396,37836.106,36020.941000000006,36989.028999999995,40813.71,42493.196,45544.14,46636.906,50476.255000000005,52232.74800000001,56746.825000000004,62265.66,63673.78799999999,63354.759,61865.957,64792.223,64271.50899999999,62863.381,65052.58,63637.118
Cuba,31400.521,32749.977,34554.141,30843.137,32603.297,32577.628,33567.718,33952.753,35635.906,35738.582,33344.031,29710.034,31294.178,29380.004,32247.598,25709.337,26996.454,24649.574,24499.227,25331.636,26083.371,25452.647,26090.705,25485.65,25005.273,26006.364,27407.158,26794.769,30443.434,29897.051,38375.155,35987.938,36156.62,34799.83,34836.5
Cayman Islands,161.348,154.014,161.348,168.682,183.35,190.684,201.685,216.353,223.687,256.69,249.356,271.358,311.695,330.03,363.033,363.033,385.035,407.037,429.039,429.039,465.709,469.376,487.711,495.045,462.042,473.043,484.044,572.052,583.053,557.384,557.384,586.72,535.382,535.382,542.716
Cyprus,3208.625,3047.277,3102.282,3098.615,3182.956,3102.282,3545.989,4121.708,4129.042,4341.728,4374.731,4690.093,5181.471,5449.162,5643.513,5383.156,5936.873,5859.866,6406.249,6376.913,6930.63,6846.289,7022.305,7748.371,7334.0,7502.682,7788.708,8195.745,8577.113,8111.404,7708.034,7425.675,6919.629,5947.874,6061.551
Djibouti,348.365,300.694,348.365,348.365,352.032,359.366,377.701,388.702,348.365,388.702,322.696,311.695,311.695,311.695,304.361,304.361,311.695,326.363,315.362,315.362,341.031,366.7,399.703,421.705,407.037,414.371,410.704,462.042,498.712,462.042,517.047,473.043,517.047,608.722,722.399
Dominica,36.67,36.67,40.337,40.337,44.004,47.671,47.671,47.671,55.005,58.672,58.672,58.672,58.672,62.339,66.006,80.674,73.34,80.674,77.007,80.674,102.676,110.01,102.676,117.344,113.677,117.344,113.677,154.014,132.012,132.012,139.346,128.345,135.679,132.012,135.679
Denmark,60369.821,51789.041,53695.881,50175.561,50861.29,60072.794,58903.021,58341.97,55107.676,48785.768,50230.566,60270.812,54322.938,57065.854,61000.545,57172.197,72181.228,61557.929,59552.08,55148.013,51330.666,52918.477,52049.398,55998.757,50600.933,47095.281,54986.665,50256.235,46933.933,44510.046,46640.573,40645.028,36427.978,38532.836,33498.045
